modelname,price
"Samsung Galaxy M31 (Space Black, 128 GB)","₹19,881"
"Samsung Galaxy M21 (Midnight Blue, 64 GB)","₹15,703"
Samsung Guru Music 2,"₹2,099"
Samsung Guru 1200,"₹1,150"
"Samsung Galaxy M11 (Metallic Blue, 32 GB)","₹11,614"
"Samsung Galaxy M21 (Midnight Blue, 128 GB)","₹17,880"
"Samsung Galaxy M11 (Metallic Blue, 64 GB)","₹13,888"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","₹20,999"
Samsung Metro 313 Dual Sim,"₹2,130"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹25,999"
"Samsung Galaxy A21s (Black, 64 GB)","₹15,999"
"Samsung Galaxy M11 (Violet, 32 GB)","₹11,724"
"Samsung Galaxy M11 (Violet, 64 GB)","₹13,969"
Samsung Guru FM Plus,"₹1,662"
"Samsung Galaxy A21s (Blue, 64 GB)","₹15,999"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹23,999"
"Samsung Galaxy A21s (White, 64 GB)","₹15,999"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹25,999"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹23,999"
"Samsung Galaxy M01 (Black, 32 GB)","₹9,212"
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)","₹34,399"
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)","₹20,999"
Samsung Guru FM Plus SM-B110E/D,"₹1,662"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)","₹25,999"
